RA,Nome Anonimizado,Fase,Pedra atual,INDE atual,prob_composite,faixa_risco_composite
RA-1017,Aluno-1017,2,Ametista,7.345521428500001,0.5205,Médio
RA-244,Aluno-244,5,Topázio,8.7225,0.5204,Médio
RA-347,Aluno-347,4,Topázio,8.384742583733333,0.5202,Médio
RA-729,Aluno-729,0,Agata,6.684533333300001,0.5202,Médio
RA-1423,Aluno-1423,1,Agata,6.403450000000001,0.5199,Médio
RA-1156,Aluno-1156,4,Agata,6.6777135642,0.5198,Médio
RA-1527,Aluno-1527,3,Topázio,8.631675000000001,0.5186,Médio
RA-170,Aluno-170,4,Ametista,7.646383333300001,0.518,Médio
RA-665,Aluno-665,2,Quartzo,5.698703030200001,0.5179,Médio
RA-1409,Aluno-1409,1,Ametista,7.863131818100001,0.5175,Médio
RA-614,Aluno-614,3,Ametista,7.8284999999666685,0.5168,Médio
RA-1119,Aluno-1119,3,Ametista,7.388266666666667,0.5166,Médio
RA-1031,Aluno-1031,1,Agata,6.8757227273,0.5163,Médio
RA-57,Aluno-57,7,Ametista,7.4193804302,0.5163,Médio
RA-672,Aluno-672,1,Quartzo,4.2118138341,0.5146,Médio
RA-1418,Aluno-1418,1,Ametista,7.7352909091000015,0.5141,Médio
RA-480,Aluno-480,2,Ametista,7.260202380900001,0.514,Médio
RA-1254,Aluno-1254,9,,,0.514,Médio
RA-1235,Aluno-1235,9,,,0.514,Médio
RA-1252,Aluno-1252,9,,,0.514,Médio
RA-1267,Aluno-1267,9,,,0.514,Médio
RA-1232,Aluno-1232,9,,,0.514,Médio
RA-1258,Aluno-1258,9,,,0.514,Médio
RA-1233,Aluno-1233,9,,,0.514,Médio
RA-1231,Aluno-1231,9,,,0.514,Médio
RA-1266,Aluno-1266,9,,,0.514,Médio
RA-1260,Aluno-1260,9,,,0.514,Médio
RA-1268,Aluno-1268,9,,,0.514,Médio
RA-1238,Aluno-1238,9,,,0.514,Médio
RA-1237,Aluno-1237,9,,,0.514,Médio
RA-636,Aluno-636,2,Agata,6.3802279106,0.5129,Médio
RA-967,Aluno-967,1,Quartzo,5.442610714300001,0.5128,Médio
RA-1561,Aluno-1561,4,Ametista,7.940220634933333,0.5125,Médio
RA-1032,Aluno-1032,1,Topázio,8.01645,0.5121,Médio
RA-669,Aluno-669,3,Agata,6.6438703703,0.5117,Médio
RA-423,Aluno-423,3,Agata,6.616193704866666,0.5111,Médio
RA-1496,Aluno-1496,2,Agata,6.7799738095,0.5108,Médio
RA-1036,Aluno-1036,2,Topázio,8.2841303831,0.5105,Médio
RA-1576,Aluno-1576,4,Ametista,7.463620238066667,0.51,Médio
RA-1473,Aluno-1473,2,Agata,6.689320600500001,0.5098,Médio
RA-1500,Aluno-1500,2,Ametista,7.360450000100002,0.5089,Médio
RA-402,Aluno-402,4,Quartzo,5.683064814833333,0.5088,Médio
RA-1491,Aluno-1491,2,Ametista,7.5072,0.5072,Médio
RA-132,Aluno-132,6,Topázio,8.4746321428,0.5071,Médio
RA-1095,Aluno-1095,3,Agata,6.108547514666667,0.5065,Médio
RA-788,Aluno-788,2,Ametista,7.9221068268,0.5063,Médio
RA-1526,Aluno-1526,3,Ametista,7.9798,0.5063,Médio
RA-847,Aluno-847,1,Quartzo,5.009290909100001,0.506,Médio
RA-1015,Aluno-1015,2,Agata,6.643252381000002,0.5054,Médio
RA-1070,Aluno-1070,1,Agata,6.287171861500001,0.5054,Médio
RA-1198,Aluno-1198,5,Agata,6.9217748918,0.5052,Médio
